pfamID	pfamName	All mac 387 2507525033	Art ota 110 648943104	Asp cla 11 645666402	Asp fis 181 645666414	Asp fla 337 645666403	Asp fum Af3 638208601	Asp nid A44 640281000	Asp nig 888 640281012	Asp ter NI4 640281008	Bat den JE3 2508501132	Bea bas gee 2506783003	Bip may 481 2509601010	Bip may C55 2509601007	Bla gil SL1 648943101	Bot bot SS1 2508501134	Bot cin 100 645666404	C Glo Mee 2681812918	Can alb SC4 640281004	Can dub CD6 645666405	Can gla 138 638208603	Can tro 344 645666406	Cer soj cos 2506520004	Cha glo 511 645666407	Cla lus 420 648943105	Coc imm RSS 649077309	Coc pos SOp 648943106	Coe rev 154 2509601005	Cop cin 130 645666409	Cry neo 35A 640281005	Cry neo 211 638208604	Deb han CB7 638208605	Ere cym 725 2517287009	Ere gos 105 638208607	Fus gra 11 640281006	Fus oxy 427 2507525031	Gym lux M11 2508501135	His cap NA1 645666401	Hyp sub 44 2508501133	Klu lac 110 638208608	Kom pas GS5 645666419	Lac bic H82 645666410	Lac the 630 645666411	Lod elo 429 645666412	Mag ory 155 640281007	Mal glo 796 643280120	Mey gui 620 645666418	Mon per FA3 645666413	Nad ful 698 2509601002	Nan gyp 113 648943103	Nau cas 439 2517093021	Nau dai 421 2517093020	Nec hae 44 648943107	Neo sp mos 2506783005	Neu cra ORA 640281015	Pap fla C30 2519899516	Par bra Pb1 648943109	Par nod SN5 645666417	Pec rum Ors 2510917007	Pec rum ven 2518645524	Pen chr 125 645666415	Pha chr 788 2507525002	Phy ram Pr4 2507525008	Pod ans mat 645666420	Pos pla RR 645666421	Pyr tri BFP 645666422	Sac cer AW1 643280122	Sac cer AA 2515154002	Sac cer S2C 638208609	Sac cer YJ9 643280124	Sai com 174 2509601003	Sap par 655 2507525037	Sch sti 604 640281010	Sch com 88 2509601012	Sch jap yF5 645666423	Sch pom 97h 638208610	Scl hom AsA 2502545044	Scl scl 700 645666424	Ser lac 99 2509601006	Spi pun BR7 2507525034	Tal mar 184 645666416	Tal sti 100 645666425	Tet pha 447 2517093022	The the 424 2517093045	Thi ter 816 2517093046	Tor del 116 2517093023	Tri ben 111 648943102	Tri ver 057 648943111	Tub mel Me8 648943112	Unc ree 174 648943113	Ust may 521 640281003	Van pol 704 645666426	Ver alb 102 648943114	Yar lip CL2 638208611	Zyg rou 732 645666427
pfam00011	Hsp20/alpha crystallin family	13	1	2	4	4	4	4	4	3	5	3	3	3	2	6	2	1	2	1	1	1	3	2	1	14	2	2	9	0	0	0	3	6	3	14	9	2	10	2	0	9	1	1	3	0	0	4	4	1	3	3	4	17	3	0	2	3	21	20	5	10	0	5	0	2	2	3	2	2	3	0	1	9	3	2	2	2	6	8	4	4	1	3	3	2	1	1	3	1	1	1	1	3	6
pfam00012	Hsp70 protein	33	9	9	10	10	9	11	11	9	6	16	10	11	10	17	12	2	18	9	11	9	15	12	9	13	9	7	10	8	9	8	8	9	12	15	9	10	11	10	8	17	9	9	12	8	12	8	10	10	12	12	12	53	10	18	9	11	25	28	8	8	21	12	3	11	14	15	14	14	7	18	13	7	9	8	18	9	8	9	11	12	13	12	10	9	9	8	17	10	7	15	10	10	9
pfam00013	KH domain	12	7	6	6	6	6	5	6	5	8	8	6	6	8	7	8	1	12	6	5	6	8	7	7	19	7	11	6	6	6	6	6	5	7	6	6	8	6	6	5	5	6	6	7	4	5	2	6	7	7	7	6	7	7	7	5	7	7	12	6	6	5	7	2	7	4	5	5	5	7	4	6	6	6	4	11	7	6	8	6	7	5	6	7	5	6	6	8	6	6	6	7	9	5
pfam00014	Kunitz/Bovine pancreatic trypsin inhibitor domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam00016	"Ribulose bisphosphate carboxylase large chain, catalytic domain"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam00017	SH2 domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam00018	SH3 domain	48	16	15	13	15	13	16	14	16	27	13	15	14	15	17	10	0	32	15	16	17	13	12	17	32	14	13	24	18	16	16	15	15	14	14	26	9	22	16	14	21	13	18	12	10	19	14	16	14	16	19	11	13	14	10	14	10	38	61	17	14	0	12	4	14	20	24	21	21	15	2	15	19	15	20	14	10	17	30	16	17	18	13	13	15	14	15	11	12	15	16	14	14	17
pfam00019	Transforming growth factor beta like domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17206	SeqA protein N-terminal domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17207	MCM OB domain	10	6	6	6	6	6	6	6	6	8	6	6	7	6	6	6	0	12	6	6	6	6	4	6	7	6	8	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	6	0	6	6	6	6	1	9	6	6	8	6	3	6	6	7	6	6	6	7	6	6	6	5	6	6	6	8	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6
pfam17208	RNA binding Region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17209	Hfq protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17210	SdrD B-like domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17211	VHL box domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17212	Tail tubular protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17213	Hydin Adenylate kinase-like domain	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17214	KH domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17215	S1 domain	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	2	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
pfam17216	Rrp44-like cold shock domain	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	5	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pfam17217	UPA domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17218	CBX family C-terminal motif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17219	Yaf2/RYBP C-terminal binding motif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17220	Protein of unknown function (DUF5137)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
pfam17221	COMMD1 N-terminal domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17222	Viral cysteine endopeptidase C107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17223	Cuticle protein CPCFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17224	Domain of unknown function (DUF5300)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam17225	Domain of unknown function (DUF5300)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
