geneName	CHR	geneStart	geneEnd	orientation	geneLength	effectorP	signalP	cazym	pfam
SLangusT_00026	Scaffold_1	88864	90130	+	1266.0	NO	NO	NO	NO
SLangusT_00027	Scaffold_1	90877	91777	+	900.0	NO	NO	NO	Domain of unknown function (DUF1771)_pfam08590;Smr domain_pfam01713
SLangusT_00028	Scaffold_1	92885	95267	+	2382.0	NO	NO	NO	Fungal Zn(2)-Cys(6) binuclear cluster domain_pfam00172;Fungal specific transcription factor domain_pfam04082
SLangusT_00029	Scaffold_1	101879	102142	-	263.0	NO	NO	NO	NO
SLangusT_00030	Scaffold_1	103310	104138	-	828.0	NO	NO	NO	NO
SLangusT_00031	Scaffold_1	105415	105849	-	434.0	0.949	NO	NO	NO
SLangusT_00032	Scaffold_1	106709	108271	+	1562.0	NO	NO	NO	NO
SLangusT_00033	Scaffold_1	109616	110585	+	969.0	NO	NO	NO	NO
SLangusT_00034	Scaffold_1	111619	112135	-	516.0	NO	NO	NO	NO
SLangusT_00035	Scaffold_1	112522	115411	+	2889.0	NO	NO	NO	tRNA synthetases class I (C) catalytic domain_pfam01406
SLangusT_00036	Scaffold_1	115477	115967	-	490.0	NO	NO	NO	NO
SLangusT_00037	Scaffold_1	116911	118365	-	1454.0	NO	NO	NO	Sodium/hydrogen exchanger family_pfam00999
SLangusT_00038	Scaffold_1	118732	120548	+	1816.0	NO	NO	NO	Sodium/hydrogen exchanger family_pfam00999
SLangusT_00039	Scaffold_1	121975	124084	-	2109.0	NO	NO	NO	MBOAT, membrane-bound O-acyltransferase family_pfam03062
SLangusT_00040	Scaffold_1	124537	126176	-	1639.0	NO	NO	NO	Cytochrome P450_pfam00067
SLangusT_00041	Scaffold_1	128033	129509	+	1476.0	NO	SignalP_EUK	NO	NO
SLangusT_00042	Scaffold_1	130255	131806	-	1551.0	NO	SignalP_EUK	GH5.hmm	Cellulase (glycosyl hydrolase family 5)_pfam00150
SLangusT_00043	Scaffold_1	133473	134681	-	1208.0	NO	NO	NO	NO
SLangusT_00044	Scaffold_1	134935	135812	+	877.0	NO	NO	NO	FRG1-like domain_pfam06229
SLangusT_00045	Scaffold_1	136277	137652	+	1375.0	NO	NO	NO	WD domain, G-beta repeat_pfam00400
SLangusT_00046	Scaffold_1	138022	140720	+	2698.0	NO	SignalP_EUK	NO	Sel1 repeat_pfam08238
SLangusT_00047	Scaffold_1	142350	142828	-	478.0	0.873	NO	NO	Helix-loop-helix DNA-binding domain_pfam00010
SLangusT_00048	Scaffold_1	143915	145201	+	1286.0	0.992	SignalP_EUK	NO	NO
SLangusT_00049	Scaffold_1	147663	148663	+	1000.0	NO	NO	NO	Maf-like protein_pfam02545
SLangusT_00050	Scaffold_1	149289	152482	-	3193.0	NO	SignalP_EUK	NO	Heterokaryon incompatibility protein Het-C_pfam07217
SLangusT_00051	Scaffold_1	154514	155988	+	1474.0	NO	NO	NO	HMG (high mobility group) box_pfam00505
SLangusT_00052	Scaffold_1	157121	157442	+	321.0	1.0	NO	NO	NO
SLangusT_00053	Scaffold_1	159649	161830	+	2181.0	NO	SignalP_EUK	GH71.hmm	Glycosyl hydrolase family 71_pfam03659
SLangusT_00054	Scaffold_1	162651	165996	-	3345.0	NO	NO	NO	NO
SLangusT_00055	Scaffold_1	167517	169930	-	2413.0	NO	NO	NO	Fungal specific transcription factor domain_pfam04082;Fungal Zn(2)-Cys(6) binuclear cluster domain_pfam00172
SLangusT_00056	Scaffold_1	173002	179510	-	6508.0	NO	NO	NO	Beta-ketoacyl synthase, N-terminal domain_pfam00109;Starter unit:ACP transacylase in aflatoxin biosynthesis_pfam16073;Methyltransferase domain_pfam08242;Ketoacyl-synthetase C-terminal extension_pfam16197;Phosphopantetheine attachment site_pfam00550;Polyketide synthase dehydratase_pfam14765;Beta-ketoacyl synthase, C-terminal domain_pfam02801;Acyl transferase domain_pfam00698
SLangusT_00057	Scaffold_1	180083	180895	-	812.0	NO	NO	NO	Serine hydrolase (FSH1)_pfam03959
SLangusT_00058	Scaffold_1	183392	183762	-	370.0	NO	NO	NO	NO
SLangusT_00059	Scaffold_1	184526	185124	+	598.0	0.882	NO	NO	Phosphatidylethanolamine-binding protein_pfam01161
SLangusT_00060	Scaffold_1	185839	187443	-	1604.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00061	Scaffold_1	188861	189859	+	998.0	NO	SignalP_EUK	NO	NO
SLangusT_00062	Scaffold_1	193145	195975	-	2830.0	NO	NO	NO	Amidohydrolase family_pfam01979;Urease alpha-subunit, N-terminal domain_pfam00449;Urease beta subunit_pfam00699;Urease, gamma subunit_pfam00547
SLangusT_00063	Scaffold_1	196720	198676	-	1956.0	NO	NO	NO	Ring finger domain_pfam13639
SLangusT_00064	Scaffold_1	200537	202671	+	2134.0	NO	NO	NO	Histone acetyltransferases subunit 3_pfam10198
SLangusT_00065	Scaffold_1	203916	206506	+	2590.0	NO	NO	NO	NO
SLangusT_00066	Scaffold_1	206935	210710	+	3775.0	NO	NO	NO	DNA repair metallo-beta-lactamase_pfam07522
SLangusT_00067	Scaffold_1	218323	219318	+	995.0	NO	NO	NO	NO
SLangusT_00068	Scaffold_1	223137	224630	-	1493.0	NO	NO	NO	Acetyltransferase (GNAT) family_pfam00583;Bromodomain_pfam00439
SLangusT_00069	Scaffold_1	225179	225522	+	343.0	NO	NO	NO	NO
SLangusT_00070	Scaffold_1	225697	226778	+	1081.0	NO	NO	NO	Repair protein Rad1/Rec1/Rad17_pfam02144
SLangusT_00071	Scaffold_1	228599	229547	-	948.0	NO	NO	NO	NO
SLangusT_00072	Scaffold_1	229887	231497	-	1610.0	NO	NO	NO	tRNA synthetase class II core domain (G, H, P, S and T)_pfam00587;Anticodon binding domain_pfam03129
SLangusT_00073	Scaffold_1	232059	233782	+	1723.0	NO	NO	NO	NO
SLangusT_00074	Scaffold_1	234258	235949	+	1691.0	NO	NO	NO	NO
SLangusT_00075	Scaffold_1	238018	239878	+	1860.0	NO	NO	NO	Fungal specific transcription factor domain_pfam11951;Fungal Zn(2)-Cys(6) binuclear cluster domain_pfam00172
SLangusT_00076	Scaffold_1	240189	241881	+	1692.0	NO	NO	NO	NO
SLangusT_00077	Scaffold_1	243347	244461	+	1114.0	NO	NO	NO	NO
SLangusT_00078	Scaffold_1	246158	247476	+	1318.0	NO	NO	NO	Pyridine nucleotide-disulphide oxidoreductase_pfam07992
SLangusT_00079	Scaffold_1	249300	251029	-	1729.0	NO	NO	NO	NO
SLangusT_00080	Scaffold_1	251289	251838	+	549.0	0.991	NO	NO	NO
SLangusT_00081	Scaffold_1	252384	253445	-	1061.0	NO	NO	NO	Fungal specific transcription factor domain_pfam11951
SLangusT_00082	Scaffold_1	254771	255736	+	965.0	NO	NO	NO	RTA1 like protein_pfam04479
SLangusT_00083	Scaffold_1	257075	257662	-	587.0	NO	NO	NO	NO
SLangusT_00084	Scaffold_1	258619	259762	-	1143.0	NO	NO	NO	NO
SLangusT_00085	Scaffold_1	262090	264195	-	2105.0	NO	NO	NO	Protein of unknown function (DUF2985)_pfam11204
SLangusT_00086	Scaffold_1	267599	270177	+	2578.0	NO	NO	NO	NO
SLangusT_00087	Scaffold_1	271794	272941	-	1147.0	NO	NO	NO	Maintenance of mitochondrial structure and function_pfam13012;JAB1/Mov34/MPN/PAD-1 ubiquitin protease_pfam01398
SLangusT_00088	Scaffold_1	273617	275733	+	2116.0	NO	NO	NO	Histone deacetylase domain_pfam00850
SLangusT_00089	Scaffold_1	276677	277671	+	994.0	0.901	NO	NO	Ribosomal protein L14p/L23e_pfam00238
SLangusT_00090	Scaffold_1	278400	279852	-	1452.0	NO	NO	NO	ZIP Zinc transporter_pfam02535
SLangusT_00091	Scaffold_1	281406	282910	+	1504.0	NO	NO	NO	NO
SLangusT_00092	Scaffold_1	285875	286583	+	708.0	NO	SignalP_EUK	NO	NO
SLangusT_00093	Scaffold_1	287581	289127	-	1546.0	NO	NO	NO	Methyltransferase domain_pfam13489
SLangusT_00094	Scaffold_1	290686	290988	-	302.0	NO	NO	NO	NO
SLangusT_00095	Scaffold_1	294529	296060	-	1531.0	NO	SignalP_EUK	GH28.hmm	Glycosyl hydrolases family 28_pfam00295
SLangusT_00096	Scaffold_1	298899	300307	-	1408.0	NO	NO	NO	Forkhead domain_pfam00250
SLangusT_00097	Scaffold_1	301550	304019	-	2469.0	NO	NO	NO	Cactus-binding C-terminus of cactin protein_pfam09732;Conserved mid region of cactin_pfam10312
SLangusT_00098	Scaffold_1	305103	305780	-	677.0	0.937	NO	NO	Peptide methionine sulfoxide reductase_pfam01625
SLangusT_00099	Scaffold_1	308258	308743	-	485.0	0.937	NO	NO	NO
SLangusT_00100	Scaffold_1	309439	312391	+	2952.0	NO	NO	NO	F-box-like_pfam12937;Unstructured region on cNMP-binding protein_pfam16643;Cyclic nucleotide-binding domain_pfam00027
SLangusT_00101	Scaffold_1	313577	314765	-	1188.0	NO	NO	NO	Inhibitor of apoptosis-promoting Bax1_pfam01027
SLangusT_00102	Scaffold_1	315504	316046	+	542.0	NO	NO	NO	NO
SLangusT_00103	Scaffold_1	317414	318255	+	841.0	NO	NO	NO	Acetyltransferase (GNAT) family_pfam00583
SLangusT_00104	Scaffold_1	319887	321990	+	2103.0	NO	NO	NO	IBR domain, a half RING-finger domain_pfam01485
SLangusT_00105	Scaffold_1	324545	325413	-	868.0	NO	NO	NO	Hypoxia induced protein conserved region_pfam04588
SLangusT_00106	Scaffold_1	329056	331377	+	2321.0	NO	NO	NO	NO
SLangusT_00107	Scaffold_1	333320	334724	-	1404.0	NO	NO	NO	NO
SLangusT_00108	Scaffold_1	335149	335729	-	580.0	NO	NO	NO	NO
SLangusT_00109	Scaffold_1	336967	337522	-	555.0	NO	NO	NO	NO
SLangusT_00110	Scaffold_1	337802	338410	+	608.0	NO	NO	NO	NO
SLangusT_00111	Scaffold_1	338734	339906	-	1172.0	NO	NO	NO	NO
SLangusT_00112	Scaffold_1	341393	342806	-	1413.0	NO	NO	NO	AT hook motif_pfam02178
SLangusT_00113	Scaffold_1	343412	344065	+	653.0	0.999	NO	NO	Zinc-binding_pfam12907;4F5 protein family_pfam04419
SLangusT_00114	Scaffold_1	344451	345648	-	1197.0	NO	NO	NO	non-haem dioxygenase in morphine synthesis N-terminal_pfam14226;2OG-Fe(II) oxygenase superfamily_pfam03171
SLangusT_00115	Scaffold_1	346308	349446	-	3138.0	NO	NO	NO	NO
SLangusT_00116	Scaffold_1	349681	350924	+	1243.0	NO	NO	NO	RNA polymerases N / 8 kDa subunit_pfam01194
SLangusT_00117	Scaffold_1	352893	355364	+	2471.0	NO	NO	NO	NO
SLangusT_00118	Scaffold_1	357604	358944	-	1340.0	NO	NO	NO	Nitrogen permease regulator 2_pfam06218
SLangusT_00119	Scaffold_1	360128	361644	+	1516.0	NO	NO	NO	Lysine methyltransferase_pfam10294
SLangusT_00120	Scaffold_1	362562	364895	+	2333.0	NO	NO	NO	NO
SLangusT_00121	Scaffold_1	365977	367575	+	1598.0	NO	NO	NO	Heterokaryon incompatibility protein (HET)_pfam06985
SLangusT_00122	Scaffold_1	368170	369586	-	1416.0	NO	NO	NO	NO
SLangusT_00123	Scaffold_1	372133	373689	-	1556.0	NO	NO	NO	Kelch motif_pfam01344;Galactose oxidase, central domain_pfam13418;Kelch motif_pfam13854;Kelch motif_pfam07646
SLangusT_00124	Scaffold_1	374652	377054	+	2402.0	NO	NO	NO	Dihydrouridine synthase (Dus)_pfam01207
SLangusT_00125	Scaffold_1	377908	378753	-	845.0	NO	NO	NO	B-cell receptor-associated protein 31-like_pfam05529
SLangusT_00126	Scaffold_1	379667	381173	-	1506.0	NO	NO	NO	NO
SLangusT_00127	Scaffold_1	382182	383781	-	1599.0	NO	NO	NO	NO
SLangusT_00128	Scaffold_1	387543	389451	+	1908.0	NO	NO	NO	NO
SLangusT_00129	Scaffold_1	391188	391694	+	506.0	1.0	NO	NO	NO
SLangusT_00130	Scaffold_1	393774	394246	+	472.0	0.987	NO	NO	NO
SLangusT_00131	Scaffold_1	401216	404013	-	2797.0	NO	NO	NO	NO
SLangusT_00132	Scaffold_1	405468	406970	+	1502.0	NO	NO	NO	WD domain, G-beta repeat_pfam00400
SLangusT_00133	Scaffold_1	408568	409995	+	1427.0	NO	NO	NO	NO
SLangusT_00134	Scaffold_1	416114	417643	-	1529.0	NO	NO	NO	NO
SLangusT_00135	Scaffold_1	419606	420601	-	995.0	NO	NO	NO	NO
SLangusT_00136	Scaffold_1	422165	424248	+	2083.0	NO	NO	NO	Calponin homology (CH) domain_pfam00307
SLangusT_00137	Scaffold_1	425095	427959	-	2864.0	NO	NO	NO	XPG I-region_pfam00867;XPG N-terminal domain_pfam00752
SLangusT_00138	Scaffold_1	428316	430158	+	1842.0	NO	NO	NO	Actin_pfam00022
SLangusT_00139	Scaffold_1	431226	432052	-	826.0	NO	NO	NO	NO
SLangusT_00140	Scaffold_1	434258	434644	+	386.0	NO	NO	NO	NO
SLangusT_00141	Scaffold_1	436250	436564	+	314.0	NO	NO	NO	NO
SLangusT_00142	Scaffold_1	436996	437781	+	785.0	NO	SignalP_EUK	NO	NO
SLangusT_00143	Scaffold_1	438870	439272	-	402.0	NO	NO	NO	NO
SLangusT_00144	Scaffold_1	440363	440948	-	585.0	NO	NO	NO	NO
SLangusT_00145	Scaffold_1	442835	444184	-	1349.0	NO	NO	NO	WLM domain_pfam08325
SLangusT_00146	Scaffold_1	444675	446284	+	1609.0	NO	NO	NO	Fungal family of unknown function (DUF1776)_pfam08643
SLangusT_00147	Scaffold_1	447150	449400	-	2250.0	NO	SignalP_EUK	NO	Zinc finger C-x8-C-x5-C-x3-H type (and similar)_pfam00642
SLangusT_00148	Scaffold_1	450825	452222	+	1397.0	NO	NO	GH18.hmm	Glycosyl hydrolases family 18_pfam00704
SLangusT_00149	Scaffold_1	452843	455462	+	2619.0	NO	NO	NO	Vps53-like, N-terminal_pfam04100
SLangusT_00150	Scaffold_1	456653	457980	+	1327.0	NO	NO	NO	Pyridine nucleotide-disulphide oxidoreductase_pfam07992
SLangusT_00151	Scaffold_1	459819	463771	-	3952.0	NO	NO	NO	NO
SLangusT_00152	Scaffold_1	465338	469608	-	4270.0	NO	NO	GT1.hmm	Glycosyltransferase family 28 N-terminal domain_pfam03033;UDP-glucoronosyl and UDP-glucosyl transferase_pfam00201
SLangusT_00153	Scaffold_1	470687	474666	-	3979.0	NO	NO	NO	Sec61beta family_pfam03911;NLI interacting factor-like phosphatase_pfam03031
SLangusT_00154	Scaffold_1	478363	481388	+	3025.0	NO	NO	NO	ABC transporter transmembrane region 2_pfam06472;ABC transporter_pfam00005
SLangusT_00155	Scaffold_1	481794	482884	-	1090.0	NO	NO	NO	Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A_pfam01775
SLangusT_00156	Scaffold_1	483509	485205	+	1696.0	NO	NO	NO	PCI domain_pfam01399
SLangusT_00157	Scaffold_1	487008	488005	-	997.0	NO	NO	NO	BTB/POZ domain_pfam00651
SLangusT_00158	Scaffold_1	489347	490384	-	1037.0	NO	NO	CE10.hmm	NO
SLangusT_00159	Scaffold_1	490429	490777	-	348.0	0.915	NO	NO	NO
SLangusT_00160	Scaffold_1	491362	492639	+	1277.0	NO	NO	NO	Leucine Rich repeats (2 copies)_pfam12799;Leucine rich repeat_pfam13855
SLangusT_00161	Scaffold_1	492959	494229	-	1270.0	NO	NO	NO	Aldo/keto reductase family_pfam00248
SLangusT_00162	Scaffold_1	495156	496636	-	1480.0	NO	NO	GT31.hmm	NO
SLangusT_00163	Scaffold_1	499268	502119	-	2851.0	NO	NO	GT2.hmm	Glycosyl transferase family group 2_pfam13632
SLangusT_00164	Scaffold_1	502848	503467	-	619.0	0.911	NO	NO	NO
SLangusT_00165	Scaffold_1	504568	505984	-	1416.0	NO	NO	GH16.hmm	Glycosyl hydrolases family 16_pfam00722
SLangusT_00166	Scaffold_1	507242	508517	+	1275.0	NO	SignalP_EUK	NO	NO
SLangusT_00167	Scaffold_1	510230	511837	+	1607.0	NO	NO	NO	NO
SLangusT_00168	Scaffold_1	512065	512874	-	809.0	NO	NO	NO	Utp11 protein_pfam03998
SLangusT_00169	Scaffold_1	513165	513703	+	538.0	NO	NO	NO	Cytochrome c oxidase biogenesis protein Cmc1 like_pfam08583
SLangusT_00170	Scaffold_1	514300	515243	+	943.0	NO	NO	NO	SET domain_pfam00856
SLangusT_00171	Scaffold_1	516478	517608	+	1130.0	0.967	NO	NO	NO
SLangusT_00172	Scaffold_1	518131	518721	-	590.0	NO	NO	NO	NO
SLangusT_00173	Scaffold_1	518861	519587	-	726.0	NO	NO	NO	NO
SLangusT_00174	Scaffold_1	520704	522053	+	1349.0	NO	SignalP_EUK	NO	Peroxidase, family 2_pfam01328
SLangusT_00175	Scaffold_1	522520	523985	+	1465.0	NO	NO	NO	WD domain, G-beta repeat_pfam00400
SLangusT_00176	Scaffold_1	524470	526489	+	2019.0	NO	NO	NO	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain_pfam02852;Pyridine nucleotide-disulphide oxidoreductase_pfam07992
SLangusT_00177	Scaffold_1	528007	533363	+	5356.0	NO	NO	NO	RNA polymerase Rpb1 C-terminal repeat_pfam05001;RNA polymerase Rpb1, domain 1_pfam04997;RNA polymerase Rpb1, domain 3_pfam04983;RNA polymerase Rpb1, domain 6_pfam04992;RNA polymerase Rpb1, domain 2_pfam00623;RNA polymerase Rpb1, domain 7_pfam04990;RNA polymerase Rpb1, domain 5_pfam04998;RNA polymerase Rpb1, domain 4_pfam05000
SLangusT_00178	Scaffold_1	535086	535393	+	307.0	NO	NO	NO	NO
SLangusT_00179	Scaffold_1	537701	539928	+	2227.0	NO	NO	NO	Fungal Zn(2)-Cys(6) binuclear cluster domain_pfam00172;Fungal specific transcription factor domain_pfam04082
SLangusT_00180	Scaffold_1	540615	541850	-	1235.0	NO	NO	NO	Oxidoreductase FAD-binding domain_pfam00970;Oxidoreductase NAD-binding domain_pfam00175
SLangusT_00181	Scaffold_1	543423	546382	+	2959.0	NO	NO	NO	NO
SLangusT_00182	Scaffold_1	548062	551256	-	3194.0	NO	NO	NO	2-oxoglutarate dehydrogenase C-terminal_pfam16870;Transketolase, pyrimidine binding domain_pfam02779;2-oxoglutarate dehydrogenase N-terminus_pfam16078;Dehydrogenase E1 component_pfam00676
SLangusT_00183	Scaffold_1	552059	554045	+	1986.0	NO	NO	NO	TFIIH p62 subunit, N-terminal domain_pfam08567;BSD domain_pfam03909
SLangusT_00184	Scaffold_1	554318	556465	+	2147.0	NO	NO	NO	NO
SLangusT_00185	Scaffold_1	557218	562071	-	4853.0	NO	NO	NO	NO
SLangusT_00186	Scaffold_1	563304	563942	+	638.0	0.948	SignalP_EUK	NO	NO
SLangusT_00187	Scaffold_1	566326	566702	+	376.0	0.999	SignalP_EUK	NO	NO
SLangusT_00188	Scaffold_1	568044	569299	-	1255.0	NO	NO	NO	SPFH domain / Band 7 family_pfam01145
SLangusT_00189	Scaffold_1	570453	573122	-	2669.0	NO	NO	NO	NO
SLangusT_00190	Scaffold_1	575130	576716	-	1586.0	NO	NO	NO	Cytochrome P450_pfam00067
SLangusT_00191	Scaffold_1	578880	579503	+	623.0	NO	NO	NO	NO
SLangusT_00192	Scaffold_1	582191	583936	-	1745.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00193	Scaffold_1	589559	590155	-	596.0	0.966	NO	NO	NO
SLangusT_00194	Scaffold_1	590569	594917	-	4348.0	NO	NO	NO	Methyltransferase domain_pfam13489
SLangusT_00195	Scaffold_1	598715	598937	-	222.0	NO	NO	NO	NO
SLangusT_00196	Scaffold_1	604003	604515	-	512.0	NO	NO	NO	NO
SLangusT_00197	Scaffold_1	605886	606222	+	336.0	NO	NO	NO	NO
SLangusT_00198	Scaffold_1	606906	607445	-	539.0	NO	NO	NO	NO
SLangusT_00199	Scaffold_1	610536	611641	-	1105.0	NO	NO	NO	NO
SLangusT_00200	Scaffold_1	612206	613285	-	1079.0	NO	NO	NO	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain_pfam02826;D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain_pfam00389
SLangusT_00201	Scaffold_1	614166	615341	+	1175.0	NO	NO	NO	Zinc-binding dehydrogenase_pfam00107;Alcohol dehydrogenase GroES-like domain_pfam08240
SLangusT_00202	Scaffold_1	615700	616468	+	768.0	NO	NO	NO	Mitochondrial ATP synthase g subunit_pfam04718
SLangusT_00203	Scaffold_1	618261	621686	+	3425.0	NO	NO	NO	NO
SLangusT_00204	Scaffold_1	622591	623942	-	1351.0	NO	NO	NO	Dienelactone hydrolase family_pfam01738
SLangusT_00205	Scaffold_1	624648	625692	+	1044.0	NO	NO	NO	CDP-alcohol phosphatidyltransferase_pfam01066
SLangusT_00206	Scaffold_1	627666	629671	+	2005.0	NO	NO	NO	NO
SLangusT_00207	Scaffold_1	633992	634755	+	763.0	NO	NO	NO	NO
SLangusT_00208	Scaffold_1	634979	635821	+	842.0	0.995	NO	NO	NO
SLangusT_00209	Scaffold_1	642434	642708	-	274.0	NO	NO	NO	NO
SLangusT_00210	Scaffold_1	642972	643220	+	248.0	NO	NO	NO	NO
SLangusT_00211	Scaffold_1	643492	644176	+	684.0	NO	NO	NO	ARP2/3 complex 16 kDa subunit (p16-Arc)_pfam04699
SLangusT_00212	Scaffold_1	648816	649133	-	317.0	NO	NO	NO	NO
SLangusT_00213	Scaffold_1	650758	651077	+	319.0	NO	NO	NO	NO
SLangusT_00214	Scaffold_1	651698	653543	-	1845.0	NO	NO	NO	Transmembrane amino acid transporter protein_pfam01490
SLangusT_00227	Scaffold_1	695143	696313	-	1170.0	0.829	NO	NO	NO
SLangusT_00245	Scaffold_1	747421	748013	-	592.0	0.868	NO	NO	NO
SLangusT_00246	Scaffold_1	748023	748682	+	659.0	1.0	NO	NO	NO
SLangusT_00263	Scaffold_1	811410	811928	+	518.0	0.99	NO	NO	NO
SLangusT_00267	Scaffold_1	820670	821124	-	454.0	0.894	NO	NO	NO
SLangusT_00272	Scaffold_1	839029	839354	-	325.0	NO	NO	NO	NO
SLangusT_00275	Scaffold_1	844301	844725	-	424.0	NO	NO	NO	NO
SLangusT_00278	Scaffold_1	852199	852875	-	676.0	NO	NO	NO	NO
SLangusT_00300	Scaffold_1	914164	914502	+	338.0	NO	SignalP_EUK	NO	NO
SLangusT_00302	Scaffold_1	917914	918481	-	567.0	0.981	NO	NO	NO
SLangusT_00304	Scaffold_1	920785	921130	-	345.0	NO	NO	NO	NO
SLangusT_00314	Scaffold_1	954521	955816	+	1295.0	NO	NO	NO	NO
SLangusT_00315	Scaffold_1	963724	964131	+	407.0	NO	NO	NO	NO
SLangusT_00316	Scaffold_1	967266	968159	+	893.0	0.985	NO	NO	NO
SLangusT_00319	Scaffold_1	974896	975255	+	359.0	0.934	NO	NO	NO
SLangusT_00326	Scaffold_1	988165	988668	-	503.0	NO	NO	NO	NO
SLangusT_00327	Scaffold_1	989417	989927	-	510.0	NO	SignalP_EUK	NO	NO
SLangusT_00331	Scaffold_1	999174	999741	-	567.0	NO	NO	NO	NO
SLangusT_00337	Scaffold_1	1021048	1021362	-	314.0	NO	NO	NO	NO
SLangusT_00341	Scaffold_1	1028552	1028792	+	240.0	0.999	NO	NO	NO
SLangusT_00342	Scaffold_1	1029156	1029977	+	821.0	NO	NO	NO	NO
SLangusT_00345	Scaffold_1	1037914	1038301	-	387.0	NO	NO	NO	NO
SLangusT_00349	Scaffold_1	1049835	1050124	-	289.0	0.989	SignalP_EUK	NO	NO
SLangusT_00356	Scaffold_1	1071522	1071963	-	441.0	NO	NO	NO	NO
SLangusT_00358	Scaffold_2	2940	3779	-	839.0	NO	NO	NO	NO
SLangusT_00359	Scaffold_2	4476	5541	+	1065.0	NO	NO	NO	Methyltransferase domain_pfam13489
SLangusT_00360	Scaffold_2	8239	10885	-	2646.0	NO	NO	NO	RNA recognition motif 2_pfam04059
SLangusT_00361	Scaffold_2	11825	12201	+	376.0	0.904	NO	NO	NO
SLangusT_00362	Scaffold_2	13415	16243	+	2828.0	NO	NO	NO	Exocyst complex subunit Sec15-like_pfam04091
SLangusT_00363	Scaffold_2	16541	17777	-	1236.0	NO	NO	NO	Histone-like transcription factor (CBF/NF-Y) and archaeal histone_pfam00808
SLangusT_00364	Scaffold_2	18934	19856	+	922.0	NO	NO	NO	Fcf2 pre-rRNA processing_pfam08698
SLangusT_00365	Scaffold_2	21606	23128	+	1522.0	NO	NO	NO	Ribosomal protein S10p/S20e_pfam00338
